Filename,Metadata Tags,Description,Permalink
02-20090223_A_082 PAN.jpg,Scannsamlung,02-20090223_A_082 PAN,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/02-20090223_A_082 PAN.tif
02-QMPS_20151112_A_026.jpg,Scannsamlung,02-QMPS_20151112_A_026,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/02-QMPS_20151112_A_026.jpg
02_Buto_Keramik.jpg,Scannsamlung,02_Buto_Keramik,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Afrika-Sammlung/02_Buto_Keramik.jpg
02_D-DAI-ROM-76.862 CMYK.jpg,Scannsamlung,02_D-DAI-ROM-76.862 CMYK,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2016-2/02_D-DAI-ROM-76.862 CMYK.jpg
02_DSC06312 cmyk.jpg,Scannsamlung,02_DSC06312 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/02_DSC06312 cmyk.jpg
02_Frauenkopf.jpg,Scannsamlung,02_Frauenkopf,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/02_Frauenkopf.jpg
02_Hansen_Pietrele.jpg,Scannsamlung,02_Hansen_Pietrele,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Original-Vorlagen/Pietrele/02_Hansen_Pietrele.jpg
02_Meroe-Royal-Baths_Schutzbau_au+ƒen_Kere.jpg,Scannsamlung,02_Meroe-Royal-Baths_Schutzbau_au+ƒen_Kere,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Meroe-Royal-Baths/02_Meroe-Royal-Baths_Schutzbau_au+ƒen_Kere.jpg
02_Rom_29.10.08.jpg,Scannsamlung,02_Rom_29.10.08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Karten 29.10.08_Ebenen/02_Rom_29.10.08.tif
02a Elephantine cmyk.jpg,Scannsamlung,02a Elephantine cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/02a Elephantine cmyk.jpg
